annotation_id,date,platform,content
0,2025-08-19 07:00:00,threads,"Waalaikumsalam 🤍 wah hanya ikan? bosenan aku tuh 😅 kalo ginjal sisa berapa persen sih yang kiri fully function ya. jadi karna yg kanan mengecil (bahkan dokter bilang hilang), yg kiri compensate jadi membesar karena bebannya di dia smua."
1,2026-01-16 07:00:00,threads,Minum nya cukup kali sehari.. buah bit nya dijus dgn sedikit air lalu diminum beserta ampasnya
2,2026-05-03 07:00:00,threads,jam?? Tiap hari.?...
3,2025-08-19 07:00:00,threads,"assalamualaikum, bismillah, izin menjawab, ketofastosis kakak 🙏🏻 awal makan low carb, makanan nya harus hewani, yang tidak mengandung gula, kecap dan tepung an ya kak, contohnya ikan-ikan dan seafood. Untuk IF bisa dimulai dengaj : , biasanya bisa dibantu dengan waktu tidur, kalau tidur kan pasti ga makan ya. Jadikan itu dulu kalau sdh terbiasa bisa dinaikkan lagi menjadi : untuk jendela puasanya. Jangan lupa olahraga beban seperti barbel. Tidur harus berkualitas, stress bawa meditasi."
4,2026-02-07 07:00:00,threads,"Benerin Pola makan (bukan ngurangin, tp menambahkan yg kurang, mengurangi yg berlebih) & olahraga otot (nambah massa otot)+cardio(kesehatan jantung, biar napasnya panjang)... Nanti dg sendiri ya stabil"
5,2026-02-17 07:00:00,threads,"Lo kerja keras cari uang buat beli kopi mahal, tapi jangan sampe uang itu berakhir buat bayar tagihan rumah sakit karena lo lalai jaga organ paling setia di tubuh lo. Ginjal lo nggak butuh Lifestyle, dia cuma butuh lo berhenti jadi orang yang denial sama kesehatan diri sendiri. The real luxury is a functional kidney,"
6,2026-02-04 07:00:00,threads,Yukk kakk bisa kakk.. semangatt yaa
7,2025-04-08 07:00:00,threads,Makasih doanya. Sy juga ngeri bgt sm ini penyakit. Keluarga sy jg ada yg meninggal krn ini.
8,2026-02-06 07:00:00,threads,h We're talking about voting law controversies in Intro to American Politics today so I have to go and update my slide where I present an outline of the Voting Rights Act and update it for yet another precedent -breaking Supreme Court decision... *sigh*
9,2026-03-20 07:00:00,threads,"Gw nge gym, otot naik, dada, paha dan tangan membesar tapi pinggang mengecil. BB masuk kategori overweight tapi body fat < %. Dengan semua effort gw buat sehat, malah seenaknya diejek oleh temen gw yang ""kurus""... ""Nih liat gw ga usah olahraga dan makan sembarangan aja badan gw udah bisa kurus"" 😂😂😂."
10,2026-02-06 07:00:00,threads,chronicillness h I saw the post of the woman who said she gets enraged when childless people say they're tired. *Laughs in chronic illness and post-exertional malaise*
11,2026-02-06 07:00:00,threads,Alasanya gak sanggup dok.. pdhl blm nyoba.. malas debat sama boomer lelah hati jelasinya sok.. dari aku yg baruu aja kelar wo di rumah aja.. sehat semua.. luangkan waktu olahraga wee..
12,2025-08-22 07:00:00,threads,"Klo nyapu, ngepel, nyuci, nyetrika momong anak itu jg bs dikatakan olga ga dok ?"
13,2026-02-06 07:00:00,threads,h The application isn't the hard part. Believing your work is worth submitting is. Most designers lose opportunities because they talked themselves out of applying. Send it.
14,2026-04-19 07:00:00,threads,Saya dah ada. Umur
15,2025-07-04 07:00:00,threads,"Terus gimana cara bantu biar insulin nggak kagetan? Balik lagi ke sini. Nah, loh 😆 🍳 Makan protein & serat lebih dulu ➔ lambat naikinnya 🚶🏻‍♀️ Jalan kaki abis makan ➔ bantu clear gula 😴 Tidur cukup ➔ kortisol stabil 🧘🏻‍♀️ Kelola stress ➔ stress bikin insulin makin dramatis --- Ouroboros kan jadinya."
16,2026-05-08 07:00:00,threads,Kalau yg herbal itu bagus apa enggk kak
17,2025-11-11 07:00:00,threads,Berdoa Merubah pola makan dan pola hidup kak
