source,date,text,likes,topic,trend_score
youtube,2025-08-31,"Halo, Min!<br><br>Terima kasih banyak videonya, materinya keren banget dan gampang dipahami.<br><br>Saya mahasiswa yang sedang ada proyek kuliah untuk bikin website edukasi bagi warga di desa. Boleh minta izin, ya, untuk menggunakan video ini sebagai materi di website kami? Saya akan embed videonya dan pastinya tetap mencantumkan kredit ke channel ini.<br><br>Terima kasih banyak atas bantuannya!",0.0,diabetes_mellitus_gejala_penyebab,16.1
youtube,2026-03-10,Bisa sembuh.,0.0,penjelasan_diabetes_mellitus,25.1
youtube,2026-02-18,Mau nanya dok istri saya uda kenak dm dok gulanya 2024 skitar 400 450 tpi sekarang uda turun 235 apa bisa sembuh dok,0.0,penjelasan_diabetes_mellitus,23.2
youtube,2025-12-21,Permisi dokter mitos atau bukan 🙏kalau habis makan tidur bisa memicu penyakit diabetes .,0.0,penjelasan_diabetes_mellitus,18.3
youtube,2025-03-22,"Terimaksih dr,materi",0.0,penjelasan_diabetes_mellitus,16.25
youtube,2024-11-24,Apakah berbahaya Dokter penyakit Diabetes Mellitus itu?,0.0,penjelasan_diabetes_mellitus,20.75
youtube,2024-10-01,Pagi dok.sya suda 4 thn sya kna diabetes 3 bln lalu sya drawat seblum drawat sya tdk perna sesak minggy sya pulang ko sya jadi sedak knpa yadok trmkasi,0.0,penjelasan_diabetes_mellitus,22.25
youtube,2024-05-10,Makch pak dokter  nasehatnya semoga jadi hidayah Aamin yrb 🤲🏻🤲🏻😇😇❤❤,0.0,penjelasan_diabetes_mellitus,22.4
youtube,2024-04-23,"5 pilar pola hidup sehat<br>1. Kelola stres<br>2. Cukup tidur 7-9 jam<br>3. Olahraga minimal 30 menit/hari<br>4. Konsumsi karbohidrat kompleks, konsumsi lemak baik, dan protein tanpa lemak jenuh<br>5. Puasa atau IF<br>Salam sehat dari GDN 65 Channel",3.0,penjelasan_diabetes_mellitus,25.1
youtube,2024-02-16,"<a href=""https://www.youtube.com/watch?v=eM_bcr45448"">https://youtu.be/eM_bcr45448?si=K-3NRbB7PcK_ups-</a>",0.0,penjelasan_diabetes_mellitus,23.5
youtube,2023-12-04,"Saya sering merasa lapar,haus sering kencing dan badan mudah lelah susah beraktivitas sehari&quot;",0.0,penjelasan_diabetes_mellitus,26.45
youtube,2023-09-06,TIDAK BOLEH MINUM OBAT DIWAKTU SAKIT KARENA MINUM OBAT BIKIN PENYAKIT.,0.0,penjelasan_diabetes_mellitus,21.15
youtube,2023-08-31,Tidak boleh minum obat diwaktu sakit kalau minum obat diwaktu sakit nanti jadi penyakit,2.0,penjelasan_diabetes_mellitus,21.1
