date;diabetes;sering haus;sering buang air kecil;badan lemas;penglihatan kabur;luka sulit sembuh;gula darah tinggi;cek gula darah;diet diabetes;obesitas;minuman manis;makanan manis;neuropati;retinopati;gagal ginjal;kaki diabetes;insulin;prediabetes;hiperglikemia;kadar gula normal
2025-04-07 00:00:00;80;0;10;18;0;17;48;32;0;52;0;22;18;0;46;13;60;0;0;14
2025-04-08 00:00:00;87;0;7;16;0;0;46;25;0;58;0;27;13;0;61;13;58;0;0;12
2025-04-09 00:00:00;84;0;7;16;0;0;67;50;0;54;11;24;0;0;67;11;65;0;10;11
2025-04-10 00:00:00;91;0;7;16;0;0;53;38;0;46;10;24;17;0;65;12;81;0;0;11
2025-04-11 00:00:00;88;0;8;16;0;0;59;32;0;57;10;26;16;0;65;11;65;0;0;15
2025-04-12 00:00:00;85;0;9;16;0;0;76;26;0;38;0;18;16;0;66;11;62;0;0;14
2025-04-13 00:00:00;91;0;10;13;0;0;49;35;0;62;0;26;12;0;67;14;63;0;9;0
2025-04-14 00:00:00;90;0;9;18;0;0;57;43;0;89;15;30;13;0;68;13;74;0;11;13
2025-04-15 00:00:00;87;0;10;13;0;0;77;34;0;50;12;25;19;0;76;0;68;0;0;10
2025-04-16 00:00:00;93;0;7;20;0;0;64;26;0;76;11;28;18;0;81;13;100;0;0;14
2025-04-17 00:00:00;89;0;7;14;0;0;74;31;0;46;0;26;11;0;69;11;71;0;8;12
2025-04-18 00:00:00;84;0;7;18;0;0;46;30;0;38;0;28;14;0;76;13;56;0;0;10
2025-04-19 00:00:00;88;0;7;19;0;0;64;27;0;48;13;31;24;11;95;14;66;0;0;0
2025-04-20 00:00:00;82;0;7;18;0;0;59;31;0;71;11;35;12;0;62;0;44;0;0;11
2025-04-21 00:00:00;94;0;7;18;0;0;78;28;15;61;0;31;16;0;74;15;81;0;9;16
2025-04-22 00:00:00;92;0;9;16;0;0;60;23;0;83;12;29;15;0;76;9;75;0;13;13
2025-04-23 00:00:00;100;0;6;17;0;0;62;34;0;73;11;31;14;0;69;11;91;0;0;9
2025-04-24 00:00:00;97;0;6;17;0;0;72;34;0;64;16;30;19;0;68;11;93;0;9;12
2025-04-25 00:00:00;96;0;6;17;0;0;67;37;0;48;16;25;14;0;71;8;75;0;0;0
2025-04-26 00:00:00;88;0;5;11;0;0;61;32;0;71;10;23;15;0;66;14;62;0;0;13
2025-04-27 00:00:00;98;0;4;17;0;0;58;31;0;58;0;32;15;0;66;14;67;0;11;11
2025-04-28 00:00:00;95;0;7;18;0;0;49;23;0;65;9;35;14;0;70;10;63;0;0;7
2025-04-29 00:00:00;95;0;5;15;0;0;70;37;0;63;14;32;21;0;85;13;83;0;10;12
2025-04-30 00:00:00;90;0;6;16;0;0;52;25;0;58;10;29;14;0;72;15;69;0;0;10
2025-05-01 00:00:00;84;4;8;21;0;0;50;21;0;56;0;34;17;0;65;15;54;0;9;13
2025-05-02 00:00:00;90;0;7;15;0;0;67;35;0;59;16;22;10;0;70;8;70;0;9;0
2025-05-03 00:00:00;90;0;6;17;0;0;51;33;18;65;11;28;21;0;60;12;72;0;0;0
2025-05-04 00:00:00;92;0;6;15;0;0;56;31;0;56;0;25;0;0;63;15;57;0;9;10
2025-05-05 00:00:00;91;0;9;19;0;0;57;48;0;63;11;29;13;0;77;11;78;0;8;10
2025-05-06 00:00:00;93;0;4;15;0;0;61;19;16;73;12;33;14;0;64;14;80;0;9;12
2025-05-07 00:00:00;93;0;6;14;0;0;56;30;0;76;10;30;9;0;72;8;84;0;9;11
2025-05-08 00:00:00;93;0;8;14;0;0;61;34;0;67;12;24;13;0;65;9;85;0;0;12
2025-05-09 00:00:00;85;0;6;13;0;0;56;0;0;74;9;32;16;0;54;10;64;0;7;12
2025-05-10 00:00:00;90;0;7;16;0;0;58;26;0;55;0;20;20;0;66;18;57;0;0;14
2025-05-11 00:00:00;77;0;8;14;0;0;48;24;0;35;0;16;0;0;54;10;43;0;0;0
2025-05-12 00:00:00;86;0;6;15;0;0;63;25;0;58;0;17;10;0;69;19;46;0;10;0
2025-05-13 00:00:00;87;0;9;22;0;0;66;31;0;67;0;22;16;0;53;15;62;0;0;11
2025-05-14 00:00:00;93;0;8;17;0;0;64;36;0;63;11;29;12;0;62;8;84;0;12;9
2025-05-15 00:00:00;88;0;10;17;0;0;68;28;0;74;0;35;25;0;78;12;66;0;0;17
2025-05-16 00:00:00;93;0;8;18;3;0;77;31;0;92;11;35;18;10;63;15;72;0;0;11
2025-05-17 00:00:00;89;0;7;16;0;0;65;34;0;51;0;23;15;0;56;20;58;0;8;22
2025-05-18 00:00:00;87;0;8;16;0;0;50;27;0;57;0;34;0;0;62;10;47;0;0;11
2025-05-19 00:00:00;83;0;9;18;0;0;58;31;0;71;9;28;17;0;73;8;83;0;12;0
2025-05-20 00:00:00;91;0;9;17;0;0;59;36;0;75;15;42;23;0;64;14;79;0;8;12
2025-05-21 00:00:00;100;0;9;17;0;0;78;26;0;70;19;37;0;0;70;10;77;0;13;0
2025-05-22 00:00:00;92;0;10;17;0;0;59;28;16;79;10;20;15;0;67;11;81;0;0;11
2025-05-23 00:00:00;80;0;8;16;0;0;74;28;0;70;13;26;21;0;62;13;67;0;11;14
2025-05-24 00:00:00;85;0;9;13;0;0;42;22;0;62;14;23;13;0;63;0;57;0;0;12
2025-05-25 00:00:00;84;0;7;16;0;0;61;20;0;67;9;23;0;0;65;14;54;0;0;9
2025-05-26 00:00:00;91;0;8;24;0;0;49;0;0;92;14;35;16;0;62;11;82;0;10;12
2025-05-27 00:00:00;96;0;9;18;0;0;71;34;0;67;16;43;21;0;65;12;77;0;10;8
2025-05-28 00:00:00;85;0;9;15;0;0;70;28;0;69;11;29;20;0;51;14;60;0;0;8
2025-05-29 00:00:00;76;0;7;18;0;0;64;32;0;56;0;29;10;0;61;0;52;0;0;0
2025-05-30 00:00:00;72;0;5;17;0;0;63;17;0;52;0;25;12;0;57;15;57;0;0;13
2025-05-31 00:00:00;70;0;8;19;0;0;56;27;0;54;16;30;11;0;62;8;56;0;0;10
2025-06-01 00:00:00;82;0;8;22;0;0;72;20;17;61;0;35;0;0;55;0;59;0;0;8
2025-06-02 00:00:00;83;0;5;18;0;0;67;30;0;78;12;39;18;0;60;12;82;0;0;13
2025-06-03 00:00:00;87;0;7;17;0;0;51;24;0;61;13;39;17;8;48;14;74;0;9;10
2025-06-04 00:00:00;80;0;7;17;0;0;48;29;0;68;9;35;15;0;60;12;78;0;10;11
2025-06-05 00:00:00;65;0;4;10;0;0;43;28;0;56;8;23;14;0;56;10;54;0;7;9
2025-06-06 00:00:00;74;0;5;17;0;0;52;23;0;44;0;34;0;0;58;12;34;0;0;0
2025-06-07 00:00:00;73;0;3;17;0;0;66;23;0;39;14;24;13;0;57;8;53;0;0;0
2025-06-08 00:00:00;74;0;5;17;0;0;61;26;0;34;0;28;0;0;58;12;43;0;0;9
2025-06-09 00:00:00;82;0;9;15;2;0;49;23;0;47;11;26;14;0;59;15;68;0;9;0
2025-06-10 00:00:00;79;0;9;15;0;0;55;23;0;63;0;27;16;0;53;12;75;0;10;12
2025-06-11 00:00:00;78;3;5;17;0;0;54;24;0;83;13;23;13;0;69;14;79;0;9;11
2025-06-12 00:00:00;85;0;6;21;0;0;77;35;0;72;10;29;0;0;67;10;67;0;0;11
2025-06-13 00:00:00;80;2;5;15;0;0;52;26;0;73;16;19;10;0;60;7;55;0;9;10
2025-06-14 00:00:00;89;0;7;16;0;0;58;37;0;68;13;29;0;0;58;12;66;0;8;11
2025-06-15 00:00:00;78;0;5;20;0;0;70;25;0;52;0;22;12;0;52;10;48;0;0;0
2025-06-16 00:00:00;78;0;6;17;0;0;63;30;0;74;0;23;17;0;61;8;62;0;10;12
2025-06-17 00:00:00;86;0;6;16;0;0;68;29;0;71;10;18;21;0;60;12;73;0;12;14
2025-06-18 00:00:00;78;3;8;13;0;0;74;41;0;55;9;32;0;0;52;8;72;9;0;10
2025-06-19 00:00:00;88;0;7;16;0;0;73;22;0;69;11;22;27;0;76;9;67;0;9;7
2025-06-20 00:00:00;82;0;8;17;0;0;75;19;0;52;11;19;24;0;58;12;61;0;0;9
2025-06-21 00:00:00;81;0;7;15;0;0;66;30;0;61;15;29;0;0;53;13;61;0;11;10
2025-06-22 00:00:00;81;0;4;16;0;0;69;23;0;57;13;27;0;0;46;11;49;0;0;10
2025-06-23 00:00:00;94;0;7;16;0;0;81;24;0;92;0;26;25;0;68;14;53;0;9;10
2025-06-24 00:00:00;86;0;7;14;0;0;64;38;0;46;0;26;21;0;53;20;62;0;9;12
2025-06-25 00:00:00;88;0;7;14;0;0;61;27;0;56;13;25;17;0;61;17;58;0;10;13
2025-06-26 00:00:00;77;0;4;16;0;0;55;34;0;45;0;28;15;0;56;11;65;0;9;15
2025-06-27 00:00:00;83;0;6;18;0;0;34;37;0;39;0;20;0;0;56;13;50;0;0;13
2025-06-28 00:00:00;78;0;7;17;0;0;58;22;0;57;0;25;15;0;57;18;50;0;9;11
2025-06-29 00:00:00;90;0;11;15;0;0;66;26;0;62;0;31;13;0;57;10;51;0;8;13
2025-06-30 00:00:00;81;3;6;18;0;0;56;30;0;80;14;25;11;0;60;14;62;0;9;10
2025-07-01 00:00:00;81;0;6;18;0;0;39;32;0;62;0;20;14;0;59;13;62;0;0;8
2025-07-02 00:00:00;86;3;6;19;0;0;58;33;0;56;0;22;13;0;65;13;66;0;0;12
2025-07-03 00:00:00;87;0;8;16;0;0;51;25;0;52;0;16;20;0;55;11;58;0;13;0
2025-07-04 00:00:00;80;0;8;16;0;0;54;27;0;56;11;34;11;0;51;10;67;0;0;14
2025-07-05 00:00:00;78;0;9;15;0;0;64;22;0;63;0;20;0;0;61;10;47;0;0;11
2025-07-06 00:00:00;80;0;6;15;0;0;49;33;0;37;0;30;0;0;62;11;51;0;8;10
2025-07-07 00:00:00;81;0;7;14;0;0;63;24;0;54;9;21;23;0;63;13;53;0;12;16
2025-07-08 00:00:00;85;0;7;12;0;0;77;36;0;50;10;26;15;0;73;13;55;0;10;10
2025-07-09 00:00:00;89;0;8;16;0;0;56;31;0;56;15;25;15;0;53;11;69;9;9;8
2025-07-10 00:00:00;82;0;5;16;0;0;56;33;0;66;11;22;15;0;69;0;72;13;9;12
2025-07-11 00:00:00;84;0;8;15;0;0;73;34;0;58;0;19;0;0;63;16;57;0;11;13
2025-07-12 00:00:00;82;0;9;14;0;0;49;19;0;55;17;32;14;0;60;0;55;0;0;15
2025-07-13 00:00:00;77;0;4;14;0;0;71;33;0;49;16;27;12;0;58;13;45;0;0;11
2025-07-14 00:00:00;84;0;6;13;0;0;53;35;0;54;19;33;15;0;61;15;63;0;8;10
2025-07-15 00:00:00;89;0;7;16;0;0;75;35;0;52;17;25;28;0;59;20;56;0;12;11
2025-07-16 00:00:00;92;0;7;17;0;0;73;32;0;66;20;31;18;0;63;16;73;0;10;8
2025-07-17 00:00:00;82;0;5;18;0;0;68;31;16;66;10;24;0;0;47;9;62;0;0;15
2025-07-18 00:00:00;83;0;6;18;3;0;66;20;0;55;10;24;21;0;57;10;78;0;0;14
2025-07-19 00:00:00;77;0;6;15;0;0;87;19;0;36;0;23;21;0;65;14;47;0;9;10
2025-07-20 00:00:00;86;0;5;16;0;0;66;20;0;48;11;25;0;0;57;10;48;0;0;11
2025-07-21 00:00:00;83;0;5;16;0;0;63;30;0;46;13;30;15;0;56;9;70;0;8;12
2025-07-22 00:00:00;82;0;6;16;3;0;46;34;0;58;18;39;16;9;62;12;70;0;0;14
2025-07-23 00:00:00;83;0;6;16;0;0;69;34;29;62;0;35;14;0;61;13;63;0;11;11
2025-07-24 00:00:00;90;0;6;14;0;20;70;25;0;77;14;27;18;0;62;11;51;0;10;14
2025-07-25 00:00:00;76;0;6;16;0;0;63;30;0;46;18;29;14;0;49;9;57;0;7;0
2025-07-26 00:00:00;78;0;6;17;0;0;59;23;0;49;0;29;0;0;57;13;46;0;0;10
2025-07-27 00:00:00;83;0;8;17;0;0;54;24;0;47;11;30;0;0;54;15;57;0;9;13
2025-07-28 00:00:00;80;0;6;14;2;0;53;33;21;53;13;33;13;0;67;10;60;0;9;0
2025-07-29 00:00:00;77;0;5;16;0;0;46;30;0;63;16;35;17;0;49;14;62;0;9;10
2025-07-30 00:00:00;83;0;5;13;0;0;60;26;0;61;17;36;13;0;63;15;65;0;0;13
2025-07-31 00:00:00;80;0;6;14;0;0;57;26;0;78;13;33;17;0;57;7;58;0;9;11
2025-08-01 00:00:00;84;0;8;15;0;0;54;28;0;51;11;33;12;0;54;11;52;0;0;13
2025-08-02 00:00:00;76;0;6;17;0;0;67;46;0;44;0;38;0;0;64;14;53;0;8;0
2025-08-03 00:00:00;83;0;6;16;0;0;56;32;21;43;10;28;0;0;60;0;55;0;0;0
2025-08-04 00:00:00;83;0;7;15;0;0;68;28;0;65;11;40;15;0;65;12;69;0;10;13
2025-08-05 00:00:00;76;0;5;15;0;0;73;25;0;52;17;43;12;0;59;14;60;0;8;8
2025-08-06 00:00:00;87;0;5;15;0;0;62;16;0;61;14;28;0;0;53;15;58;7;13;7
2025-08-07 00:00:00;89;0;5;14;0;0;80;34;0;67;14;26;13;0;67;13;68;0;8;13
2025-08-08 00:00:00;87;0;6;11;0;0;72;31;0;66;16;30;9;0;58;20;67;0;0;11
2025-08-09 00:00:00;83;0;7;15;0;0;46;37;0;43;0;23;14;0;63;15;62;0;0;12
2025-08-10 00:00:00;75;0;5;14;0;0;70;24;0;49;0;35;13;0;55;0;58;0;0;15
2025-08-11 00:00:00;83;0;10;13;0;0;60;34;0;64;14;25;19;0;65;10;59;0;12;16
2025-08-12 00:00:00;86;0;9;12;3;0;72;23;0;55;16;32;0;0;61;0;65;0;8;0
2025-08-13 00:00:00;82;0;7;13;0;0;63;29;0;62;10;37;14;0;58;10;62;0;0;10
2025-08-14 00:00:00;79;0;8;15;0;0;54;32;0;55;17;31;21;0;57;13;57;0;11;8
2025-08-15 00:00:00;80;0;6;17;0;0;60;36;0;51;10;26;13;0;62;0;56;0;13;11
2025-08-16 00:00:00;77;0;6;16;0;0;50;0;0;57;0;26;20;0;59;12;44;0;0;10
2025-08-17 00:00:00;68;0;8;17;0;0;59;29;0;43;15;17;13;0;64;17;33;0;0;0
2025-08-18 00:00:00;81;0;3;18;0;0;60;25;0;45;0;30;0;0;56;10;60;0;0;9
2025-08-19 00:00:00;79;0;7;13;0;0;61;38;0;70;16;29;27;0;100;15;71;0;0;11
2025-08-20 00:00:00;79;0;7;16;0;0;74;27;0;61;14;30;18;0;67;13;53;0;0;14
2025-08-21 00:00:00;85;0;7;17;0;16;58;30;0;59;0;39;15;0;80;9;62;0;0;12
2025-08-22 00:00:00;85;0;8;19;0;0;91;19;0;38;13;31;10;18;85;10;67;0;9;8
2025-08-23 00:00:00;85;0;7;23;0;0;55;30;0;46;0;24;18;0;73;10;54;0;0;9
2025-08-24 00:00:00;78;0;8;20;0;0;73;26;0;61;11;32;16;0;68;10;61;0;0;0
2025-08-25 00:00:00;94;0;5;16;0;0;72;26;0;71;10;34;11;0;79;12;70;0;13;16
2025-08-26 00:00:00;91;0;7;18;0;0;74;39;0;69;13;37;15;0;79;14;62;0;9;9
2025-08-27 00:00:00;93;0;8;18;0;0;59;21;0;75;0;30;15;0;87;12;67;0;8;10
2025-08-28 00:00:00;82;0;4;17;0;0;69;34;0;100;13;26;28;0;76;11;63;7;0;15
2025-08-29 00:00:00;78;0;9;15;0;0;53;25;0;69;10;34;14;0;63;0;45;0;10;8
2025-08-30 00:00:00;77;0;6;16;0;0;59;24;0;40;0;29;12;0;68;0;47;0;0;11
2025-08-31 00:00:00;73;0;5;17;0;0;61;0;0;39;10;29;0;14;55;11;50;0;0;0
2025-09-01 00:00:00;79;0;4;14;0;0;50;22;0;78;15;38;19;0;67;14;62;0;0;11
2025-09-02 00:00:00;88;0;5;23;0;0;63;34;0;64;16;38;20;0;66;11;67;7;0;11
2025-09-03 00:00:00;86;2;6;21;0;0;78;22;0;80;10;36;10;10;92;16;71;0;14;14
2025-09-04 00:00:00;80;0;6;18;0;0;64;23;0;47;11;26;15;0;74;14;61;0;9;8
2025-09-05 00:00:00;79;0;6;17;0;0;66;31;0;48;0;22;10;0;69;10;52;0;0;11
2025-09-06 00:00:00;80;0;7;17;0;0;76;35;0;49;12;29;0;0;78;11;48;0;0;15
2025-09-07 00:00:00;80;0;6;20;0;0;60;32;21;59;10;32;11;0;74;15;54;0;9;0
2025-09-08 00:00:00;82;0;6;18;0;0;60;38;0;60;11;26;17;0;55;12;79;0;9;8
2025-09-09 00:00:00;90;0;6;16;0;0;65;46;0;64;12;37;14;0;57;8;76;0;10;0
2025-09-10 00:00:00;79;0;7;15;0;0;62;23;0;74;13;32;14;0;68;11;70;0;0;14
2025-09-11 00:00:00;81;0;7;16;0;0;78;28;0;76;14;33;14;0;64;11;63;0;0;10
2025-09-12 00:00:00;75;0;6;16;0;0;66;41;0;69;0;35;11;0;66;7;67;0;0;15
2025-09-13 00:00:00;79;0;6;17;0;0;56;32;0;59;19;26;14;0;86;13;45;0;0;9
2025-09-14 00:00:00;70;0;5;19;0;0;43;17;0;50;13;33;16;0;51;0;49;0;9;13
2025-09-15 00:00:00;87;0;6;20;0;0;71;34;0;55;14;36;14;0;68;17;62;0;0;12
2025-09-16 00:00:00;80;2;7;17;0;0;70;38;0;51;12;36;10;0;69;7;72;0;12;16
2025-09-17 00:00:00;85;0;7;19;0;0;66;29;0;52;22;32;14;0;66;12;67;0;0;12
