date,diabetes,sering haus,sering buang air kecil,badan lemas,penglihatan kabur,luka sulit sembuh,gula darah tinggi,cek gula darah,diet diabetes,obesitas,minuman manis,makanan manis,neuropati,retinopati,gagal ginjal,kaki diabetes,insulin,prediabetes,hiperglikemia,kadar gula normal
2015-01-01,48,0,9,5,0,0,0,0,0,36,0,0,0,0,39,0,19,0,0,0
2015-01-02,48,0,0,8,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
2015-01-03,42,0,0,4,0,0,0,0,0,33,0,0,0,0,34,0,10,0,0,0
2015-01-04,53,0,5,7,0,0,0,0,0,37,0,0,0,0,44,0,18,0,0,0
2015-01-05,59,0,0,0,0,0,0,0,0,79,0,0,0,0,56,0,19,0,0,0
2015-01-06,66,0,0,4,0,0,0,0,0,67,0,0,0,0,37,0,24,0,0,0
2015-01-07,68,0,0,4,0,0,0,0,0,53,0,0,0,0,53,0,26,0,0,0
2015-01-08,62,0,5,4,0,0,0,0,0,34,0,0,0,0,38,0,23,0,0,0
2015-01-09,65,0,0,6,0,0,0,0,0,39,0,0,0,0,37,0,17,0,0,0
2015-01-10,64,0,5,0,0,0,0,0,0,65,0,0,0,0,39,0,14,0,0,0
2015-01-11,60,0,0,0,0,0,0,0,0,54,0,17,0,0,56,0,20,0,0,0
2015-01-12,65,0,5,4,0,0,0,0,0,59,0,16,20,0,47,0,26,0,0,0
2015-01-13,67,0,0,5,0,0,0,0,0,61,0,0,0,0,44,0,29,0,0,0
2015-01-14,67,0,4,4,0,0,0,0,0,55,0,0,0,0,49,0,27,0,0,0
2015-01-15,69,0,6,0,0,0,0,0,0,58,0,0,0,0,49,0,19,0,0,0
2015-01-16,61,0,4,0,0,0,0,0,0,61,0,0,0,0,43,0,20,0,0,0
2015-01-17,51,0,0,4,0,0,0,0,0,0,0,0,0,0,33,0,15,0,0,0
2015-01-18,56,0,6,5,0,0,0,0,34,41,0,0,0,0,37,0,20,0,0,0
2015-01-19,62,0,6,6,0,0,0,0,0,44,0,15,0,0,40,0,22,0,0,0
2015-01-20,62,0,3,6,0,0,0,0,0,59,0,0,0,0,45,0,25,0,0,0
2015-01-21,67,0,4,4,0,0,0,0,0,50,0,0,0,0,44,0,26,0,0,13
2015-01-22,63,0,4,5,0,0,0,0,0,75,0,0,0,0,42,0,25,0,0,0
2015-01-23,58,0,6,5,0,0,0,0,0,45,0,0,0,0,44,0,25,0,0,0
2015-01-24,59,0,4,5,0,0,0,0,0,38,17,0,0,0,30,0,16,0,0,0
2015-01-25,56,0,4,0,0,0,0,0,0,53,0,0,0,0,28,0,27,0,0,0
2015-01-26,68,0,4,7,0,0,0,0,0,39,16,18,0,0,49,0,33,0,0,0
2015-01-27,76,0,4,8,0,0,31,0,0,56,0,20,0,0,48,0,25,0,0,0
2015-01-28,71,0,4,7,0,0,32,0,0,50,0,0,0,0,60,0,22,0,0,0
2015-01-29,70,0,4,6,0,0,0,0,0,41,0,0,0,0,49,0,27,0,0,10
2015-01-30,64,0,0,7,0,0,0,0,0,46,0,0,0,0,39,0,27,0,0,0
2015-01-31,57,0,0,0,0,0,0,0,0,55,0,0,0,0,66,0,15,0,0,0
2015-02-01,58,0,0,5,0,0,0,0,0,36,0,0,0,0,41,0,25,0,0,0
2015-02-02,65,0,7,4,0,0,0,0,0,73,0,21,0,0,47,0,29,0,0,0
2015-02-03,71,0,5,6,0,0,34,0,0,61,0,17,0,0,46,0,31,0,0,0
2015-02-04,65,0,0,6,0,0,0,0,0,59,0,0,0,0,39,0,35,0,0,0
2015-02-05,71,0,4,6,0,0,0,0,0,47,0,21,0,0,51,8,24,0,0,0
2015-02-06,64,0,5,6,0,0,0,27,0,60,0,14,0,0,36,0,19,0,0,0
2015-02-07,55,0,5,0,0,0,0,0,0,53,0,0,0,0,36,0,21,0,0,0
2015-02-08,66,0,0,5,0,0,0,0,0,32,0,0,0,0,32,0,23,0,0,0
2015-02-09,65,0,5,0,0,0,0,0,0,67,0,0,0,0,47,0,36,0,0,0
2015-02-10,66,0,5,5,0,0,33,0,0,43,0,15,0,0,50,0,37,0,0,9
2015-02-11,72,0,6,5,0,0,0,0,0,0,0,19,0,0,65,0,39,0,0,0
