post_url,username,date,comment
https://www.threads.com/@giapratamamd/post/DQ5zgoAkwKw,giapratamamd,2025-11-11,"Tentang Diabetes Pankreas kita tidak selemah yang dibayangkan. Selama asupan gula harian masih di bawah gram, tubuh bisa bekerja dengan baik. Karena itu, setiap kali kamu ke Indomaret, Alfamart, atau minimarket lainnya, biasakan membaca Tabel Nutrisi sebelum membeli minuman atau camilan kemasan. Perhatikan berapa kandungan gula dalam satu bungkus penuh, bukan hanya per takaran saji."
https://www.threads.com/@giapratamamd/post/DQ5zgoAkwKw,giapratamamd,2025-11-11,"Supaya saya tahu kamu benar-benar paham cara bacanya, coba foto makanan atau minuman yang mau kamu beli, lalu tulis berapa total kadar gulanya dalam satu bungkus. Upload di IG Story dan mention saya ya."
https://www.threads.com/@giapratamamd/post/DQ5zgoAkwKw,budeuyunk354,2025-11-14,"Alhamdulillah minggu lalu abis periksa Guldar puasa : After puasa : Kolesterol: Hb : , Asam Urat : , Usia : + Bb/Tb : / cm"
https://www.threads.com/@giapratamamd/post/DQ5zgoAkwKw,imbuhnur_,2025-11-11,"dok, tetangga saya minggu yang lalu meninggal dunia. beliau penderita diabetes dan ada luka basah di kakinya. beliau sudah kami anggap orangtua sendiri. bulan sebelum meninggal, beliau sudah tidak mau mengkonsumsi obat gula lagi dan beralih pada obat herbal yang justru membuat gula darah sewaktunya tinggi. dokter dari klinik herbal tersebut bilang katanya gula darah sewaktu tinggi itu tandanya pankreas sedang memulihkan kondisinya. saya sudah coba bujuk untuk kembali ke rumah sakit saja"
https://www.threads.com/@giapratamamd/post/DQ5zgoAkwKw,imbuhnur_,2025-11-11,agar luka segera ditangani dan kembali mengkonsumsi obat gula saja. tapi beliau termakan mitos yang bilang konsumsi obat terus menerus bisa kena ginjal. saya sudah berusaha menjelaskan semampu saya karena ibu saya juga termakan mitos itu dulu dan beliau sudah tiada. tapi saya tetap saja orang lain yang tidak punya kuasa penuh...
https://www.threads.com/@giapratamamd/post/DQ5zgoAkwKw,cicil_saham,2025-11-11,"Penting nya olahraga untuk menjaga kestabilan gula darah ya donk. Jadi saat insulin menangkap gula, bisa di makan sm otot 👍👍"
https://www.threads.com/@giapratamamd/post/DQ5zgoAkwKw,karyadi.baskoro,2025-11-11,"Satu tajaran saji, sekali minum, g 😁"
https://www.threads.com/@giapratamamd/post/DQ5zgoAkwKw,willy_soebardja,2025-11-11,Mau nanya juga ya... apakah lemak perut boleh dirampingkan melalui sedot lemak? Apa itu aman? Dan dokter apa yg patut menangani itu?... thanks🙏🏻
https://www.threads.com/@giapratamamd/post/DQ5zgoAkwKw,dewa_ferza,2025-11-11,Kalo saya “mengakali dengan bangun massa otot” dok 🫣
https://www.threads.com/@giapratamamd/post/DQ5zgoAkwKw,shintadewi.hayu,2025-11-11,"Ini aku. Kalo tabelnya gk kebaca krn blur aku senterin Demi liat gula, kalori, natrium Gkpp dianggep aneh"
