conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2033775377131429948,Fri Mar 20 23:44:56 +0000 2026,0,@eidna Engga An kalau badan gw udh otomatis bisa kontrol diabetes. Kalau elu kan takut kaget nih badannya ,2035140565504073845,,eidna,in,,0,0,0,https://x.com/undefined/status/2035140565504073845,2024782944876060672,
2034866516135748074,Fri Mar 20 23:43:18 +0000 2026,0,@JimRed336207 @sosmedkeras Gak bakal obesitas dan diabetes sih makan setoples pun setahun sekali. Freak jatohnya,2035140154218910061,,JimRed336207,in,,0,1,0,https://x.com/undefined/status/2035140154218910061,1940417766416384001,
2034866516135748074,Fri Mar 20 23:30:13 +0000 2026,0,@BangDelap9 @sosmedkeras lah ga usah didengerin kalo pengen cepat obesitas dan diabetes dia kan cm ngasi info soalnya toples nastar buatan umkm dan industri rumah tangga biasanya g ada informasi nilai gizinya ,2035136860411109698,,BangDelap9,in,,0,1,0,https://x.com/undefined/status/2035136860411109698,2022252432366133248,
2035134017918689507,Fri Mar 20 23:18:55 +0000 2026,6,Hari ni makan slow slow ya. badan dah 30 hari puasa. Boleh terkejut terima makanan harini ni Especially untuk yang ada diabetes yg cut sugar extremely waktu ramadan. Jgn raya dekat hospital ok. salam 0-0 ,2035134017918689507,,,in,,0,0,1,https://x.com/undefined/status/2035134017918689507,1447760073879539714,
2034883355263852697,Fri Mar 20 20:39:17 +0000 2026,1,@ekawicaksana @yonathandinata Fun fact semuanya liquid diabetes.. Cuma kopi di warteg yg diseduh langsung pakai air dari kompor yg beneran enak,2035093845084708974,,ekawicaksana,in,,0,0,0,https://x.com/undefined/status/2035093845084708974,1035535952788115456,
2035075434841563631,Fri Mar 20 19:26:08 +0000 2026,0,eh cong tbtb gw kefikiran diabetes masa,2035075434841563631,,,in,,0,0,0,https://x.com/undefined/status/2035075434841563631,1571301010571952129,
2035058053205426217,Fri Mar 20 18:17:04 +0000 2026,0,Stop lewat yg imut-imut bikin diabetes.,2035058053205426217,,,in,,0,0,0,https://x.com/undefined/status/2035058053205426217,1909884133394071555,
2035056596360077720,Fri Mar 20 18:11:16 +0000 2026,1,bagi diabetes mellitus its really an achievement :-) Alhamdulillah dan sedih Ramadan berlalu pergi #1447H https://t.co/zYLiumZ9Os,2035056596360077720,https://pbs.twimg.com/media/HD35L_MboAE86h1.jpg,,in,,0,0,0,https://x.com/undefined/status/2035056596360077720,302365504,
2034961680531431480,Fri Mar 20 17:53:16 +0000 2026,0,@pantone334c Ah dia mah mendingan buruan mati obesitas atau diabetes aja dah drpd idup tapi jadi beban keluarga doang,2035052064188101047,,pantone334c,in,,0,0,0,https://x.com/undefined/status/2035052064188101047,1942815394601000961,
2034934258704269456,Fri Mar 20 17:16:33 +0000 2026,0,@tanyarlfes chill cuma sehari. ngga akan bikin lo obes dan diabetes dalam satu hari.,2035042823410786601,,tanyarlfes,in,,0,0,0,https://x.com/undefined/status/2035042823410786601,1016390538793140224,
2035037353048514608,Fri Mar 20 16:54:48 +0000 2026,0,Jangan manis² nanti diabetes https://t.co/AniuBEjM2b,2035037353048514608,https://pbs.twimg.com/amplify_video_thumb/2034969633573543937/img/IkrEA9j6svbrqRqV.jpg,,in,,0,0,0,https://x.com/undefined/status/2035037353048514608,1673895806250917894,
2034934957609820278,Fri Mar 20 16:51:58 +0000 2026,0,@DHarshwal @indiainpixels Bhai Ozempic ek injection medicine hai (semaglutide) jo mainly Type-2 diabetes ke liye banayi gayi thi. Ab log isko weight loss ke liye use kar rahe hain kyuki yeh bhook kam karti hai aur sugar control karti hai. Doctor ki advice ke bina mat lena side effects ho sakte hain! Kya,2035036638372393185,,DHarshwal,in,,0,0,0,https://x.com/undefined/status/2035036638372393185,1720665183188922368,
2035036325045575708,Fri Mar 20 16:50:43 +0000 2026,0,mau dibikin diabetes kek nyaa tapi it s oke ai suka kok https://t.co/DEEB5rIHoZ,2035036325045575708,https://pbs.twimg.com/media/HD3mvdPbcAAL90b.jpg,,in,,0,0,0,https://x.com/undefined/status/2035036325045575708,1576701377421930497,
2035030507629814050,Fri Mar 20 16:27:37 +0000 2026,0,Ini masalahnya adek gw tiap hari minumin gituan dan kerjaannya main game doang ga ada gerak2nya kena diabetes cuci darah usia muda baru kerasa nanti,2035030511174000702,,earbuds380,in,,0,1,0,https://x.com/undefined/status/2035030511174000702,1745009835517865984,
2034734135831667101,Fri Mar 20 16:23:59 +0000 2026,0,@bailavena Apa nggak diabetes itu,2035029597008666927,,bailavena,in,,0,0,0,https://x.com/undefined/status/2035029597008666927,1987033292949102592,
2034801608207605837,Fri Mar 20 16:03:48 +0000 2026,0,@insidefolkative Tapi penyakit diabetes meningkat,2035024518801154152,,insidefolkative,in,,0,0,0,https://x.com/undefined/status/2035024518801154152,1094778806697582592,
2035020166535553232,Fri Mar 20 15:46:31 +0000 2026,2,Klo utk penderita diabetes enaknya dibawain buah tangan apa?,2035020166535553232,,,in,,0,8,0,https://x.com/undefined/status/2035020166535553232,2021804612236554240,
2035019979788345675,Fri Mar 20 15:45:46 +0000 2026,3,org sakit diabetes tapi mucil https://t.co/Y7NVdt4vLs,2035019979788345675,https://pbs.twimg.com/media/HD3X4YVboAA4WaB.jpg,,in,,0,1,0,https://x.com/undefined/status/2035019979788345675,1235024391823491072,
2035011769677357348,Fri Mar 20 15:13:09 +0000 2026,5,mengubah sirosis hati menjadi GERD &amp; diabetes ,2035011769677357348,,,in,,0,1,0,https://x.com/undefined/status/2035011769677357348,1271276549212303360,
2035011565989371951,Fri Mar 20 15:12:20 +0000 2026,0,Aduhhh rawan diabetes iniiii,2035011565989371951,,,in,,0,0,0,https://x.com/undefined/status/2035011565989371951,1295031400479879168,
2034138845495890283,Wed Mar 18 23:18:50 +0000 2026,0,@ChandraDailyVid Ehhhh kemanisan kali itu bisa diabetes,2034409221760893119,,ChandraDailyVid,in,,0,0,0,https://x.com/undefined/status/2034409221760893119,2007709627761471488,
2034107554499072483,Wed Mar 18 22:43:36 +0000 2026,0,@namrejreznap @ipunk_baik Saya punya teman yg modelan kyk itu. Kalo dinasehati masalah kesehatan selalu di jawab Badan gua kurus dan gak punya keturunan diabetes ,2034400356281843967,,namrejreznap,in,,0,1,0,https://x.com/undefined/status/2034400356281843967,774880456290349056,
2034278777526911096,Wed Mar 18 22:16:18 +0000 2026,0,@prncsscharIotte INI KENAPA BISAA GEMESS PARAH BISA BIKIN DIABETES SAKING MANISNYAAA ,2034393482874532131,,prncsscharIotte,in,,0,1,0,https://x.com/undefined/status/2034393482874532131,1222006318203949056,
2034206969079238722,Wed Mar 18 22:07:50 +0000 2026,0,@tanyarlfes Penyakit orang indonesia: Diabetes TBC Kasianan ,2034391355020255473,,tanyarlfes,in,,0,0,0,https://x.com/undefined/status/2034391355020255473,1346104206206201856,
2034233305709658173,Wed Mar 18 21:31:52 +0000 2026,0,@Radiorwanda_RBA Gusukura umubiri no kongera ubudahangarwa Gufasha mu kugabanya ibinure Guteza imbere imikorere myiza y umubiri Ni uburyo bwiza bw umutekano kandi bworoshye bwo kwita ku buzima bwawe buri munsi! Ntutegereze ko diabetes igira ingaruka zikomeye ubufasha: 0782411408 https://t.co/lkZ4QC3HTY,2034382300134191511,https://pbs.twimg.com/media/HDuT6a8W4AA4nyo.jpg,Radiorwanda_RBA,in,,0,0,0,https://x.com/undefined/status/2034382300134191511,1983633085771214851,
2034366405148299733,Wed Mar 18 21:31:07 +0000 2026,0,@Admeli000ra waalaikumsalam diabetes,2034382114054148257,,Admeli000ra,in,,0,0,0,https://x.com/undefined/status/2034382114054148257,1637755285917040642,
