conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2040325145882243088,Sat Apr 04 23:49:41 +0000 2026,1,@serandani Diabetes Kolesterol Asam urat,2040577577895747858,,serandani,in,,0,1,0,https://x.com/undefined/status/2040577577895747858,346017465,
2040576217355886693,Sat Apr 04 23:45:58 +0000 2026,0,Padahal hasil guldar tinggi belom tentu diabetes kan? Siapa tau karna pengaruh stress lately emak gue banyak setresnya soalnya.. ,2040576643731952071,,myloveunsang,in,,0,0,0,https://x.com/undefined/status/2040576643731952071,273288296,
2040272452396474449,Sat Apr 04 23:24:10 +0000 2026,0,@thinkboutkey diabetes tingkat 3 gasih cuss suntik insulin,2040571158421217672,,thinkboutkey,in,,0,0,0,https://x.com/undefined/status/2040571158421217672,1077622785973805056,
2040419511946637593,Sat Apr 04 20:17:20 +0000 2026,0,@zayyinmeme apasih anjr TRUS GIMANA masa minum manis ? demen diabetes lu? apa salahnya minum americano? itu sehat juga kalau ga over kok sesajen aja kopi item pait,2040524140894126548,,zayyinmeme,in,,0,0,0,https://x.com/undefined/status/2040524140894126548,1679160842947018753,
2040425610414280852,Sat Apr 04 19:49:03 +0000 2026,0,@anfess_ Bukan season 2 inimah tpi diabetes stage 2,2040517022082310415,,anfess_,in,,0,0,0,https://x.com/undefined/status/2040517022082310415,1962721970,
2040504232802209989,Sat Apr 04 18:58:14 +0000 2026,3,udah ga kuat nonton veil of shadow diabetes aku kumat langsung manis bangetttt longshen sama wuyi ,2040504232802209989,,,in,,0,0,0,https://x.com/undefined/status/2040504232802209989,1897413943,
2040489686779453553,Sat Apr 04 18:22:40 +0000 2026,4,@__Sharyf 3firi banku nu aa medi anadwo 9pm 3ny3 diabetes type 2 biaa,2040495280202662103,,__Sharyf,in,,0,3,0,https://x.com/undefined/status/2040495280202662103,1646276253345882112,
2040489417790599393,Sat Apr 04 17:59:22 +0000 2026,1,egk nyangka jujur kk biasanyA buat au yg manis imut gemas diabetes tapi skrng au nya ️ he/him (TAKUT ),2040489417790599393,,,in,,0,1,0,https://x.com/undefined/status/2040489417790599393,1905539195508326402,
2040480672016630239,Sat Apr 04 17:24:37 +0000 2026,1,Sekarang sudah ga perlu repot lagi nyampurin kopi dengan susu ganti susu nya sama whipcream jadi deh 1 sachet ini plus ini juga aman buat penderita diabetes dan ini low carbs kamu ga perlu takut langsung co aja https://t.co/Jn4WwlVV7D https://t.co/rfJkMYDfoE,2040480672016630239,https://pbs.twimg.com/media/HFE-WncacAMLpus.jpg,,in,,0,0,0,https://x.com/undefined/status/2040480672016630239,232516752,
2040480616354128070,Sat Apr 04 17:24:23 +0000 2026,0,Tolonglah baru episode 1 udah diabetes.,2040480616354128070,,,in,,0,0,0,https://x.com/undefined/status/2040480616354128070,102597257,
2040476384590741806,Sat Apr 04 17:07:34 +0000 2026,2,Jangan ditatap nanti kamu diabetes https://t.co/8comTU2fq3,2040476384590741806,https://pbs.twimg.com/media/HFE6cxCa8AANDxd.jpg,,in,,0,0,0,https://x.com/undefined/status/2040476384590741806,1563146449374052352,
2039946960137048116,Sat Apr 04 16:44:17 +0000 2026,0,@halupulisi diabetes seneng ini,2040470524065956004,,halupulisi,in,,0,0,0,https://x.com/undefined/status/2040470524065956004,2015107413020729344,
2040467029334151315,Sat Apr 04 16:30:27 +0000 2026,0,Daaannn yang terpenting!!! Gak ada drama menyebalkan antara MC dan ML dari awal cerita sampaiiiii akhir cerita MANISSS BANGET. Diabetes dah lu.,2040467043993124976,,matchaaaaaaaluv,in,,0,1,0,https://x.com/undefined/status/2040467043993124976,1544624336677797890,
2040465491568013574,Sat Apr 04 16:24:17 +0000 2026,0,my diabetes gue anjir lupa nonton ,2040465491568013574,,,in,,0,0,0,https://x.com/undefined/status/2040465491568013574,1103301894842179584,
2040454177105780956,Sat Apr 04 15:51:16 +0000 2026,0,@_iichel asal ga batuk sm diabetes aman aja wkwkwk,2040457181481644288,,_iichel,in,,0,1,0,https://x.com/undefined/status/2040457181481644288,1407592240369655814,
2040105175084605512,Sat Apr 04 15:46:41 +0000 2026,2,@muhammadfezapt2 @imedverse @HarvardHealth @Harvard @harvardmed @HarvardChanSPH Ini ringkasannya: Artikel ini (dari jurnal The Innovation Nutrition tim Harvard dll.) bahas perspektif epidemiologi soal konsumsi kopi &amp; teh vs penyakit kronis (diabetes tipe 2 jantung stroke kanker liver dementia dll.). Kesimpulan utama: Buat kebanyakan orang dewasa,2040456027301093599,,muhammadfezapt2,in,,0,0,0,https://x.com/undefined/status/2040456027301093599,1720665183188922368,
2040427967080542560,Sat Apr 04 15:27:03 +0000 2026,0,@desertcanewife Kangen ortrei banyak banyak... Jika ortrei adalah sirup aku akan menjadi diabetes...,2040451088055492847,,desertcanewife,in,,0,0,0,https://x.com/undefined/status/2040451088055492847,1621536354244104193,
2040415885098459645,Sat Apr 04 15:25:11 +0000 2026,0,@redcliffelab A. Diabetes Risk City- Shri Ganganagar #ContestAlertIndia #HealthAwareness #CityHealth #PublicHealthIndia #GiveawayIndia @redcliffelab @inikavinash @SonaliNandy8 @JayParmarGJ3 @pratikvaja05 @gurdeepradio,2040450615441285581,,redcliffelab,in,,0,0,0,https://x.com/undefined/status/2040450615441285581,1694690249866403840,
2040815330071810511,Sun Apr 05 23:51:52 +0000 2026,0,@ausreadd Ga pak saya diabetes : aman sih,2040940516871983121,,ausreadd,in,,0,0,0,https://x.com/undefined/status/2040940516871983121,2004459216250327045,
2040805696401453117,Sun Apr 05 23:48:08 +0000 2026,0,@waw_keken Otw diabetes wkwk,2040939577712714165,,waw_keken,in,,0,0,0,https://x.com/undefined/status/2040939577712714165,1467062579579146242,
2040745336902431159,Sun Apr 05 22:44:21 +0000 2026,0,@minatozsna Tapi kaka manis yang sehat anti diabetes ga sih? Kaka manis yang bikin happy kan? Mauuuuu tapi mam eskrimnya sama kaka ya? ,2040923525754863902,,minatozsna,in,,0,0,0,https://x.com/undefined/status/2040923525754863902,1591793633623408642,
2040815330071810511,Sun Apr 05 22:21:07 +0000 2026,0,@ausreadd BLNG AJA PUASA MAKANAN MANIS DISURUH DOKTER KRENA AD RIWAYAT DIABETES WKWKWKW,2040917679029301533,,ausreadd,in,,0,1,0,https://x.com/undefined/status/2040917679029301533,1457271303505780738,
2040914153754570958,Sun Apr 05 22:07:07 +0000 2026,0,Hidup Sehat Untuk Penderita Darah Tinggi dan Diabetes https://t.co/x7uc6W5IB7,2040914153754570958,,,in,,0,0,0,https://x.com/undefined/status/2040914153754570958,23786106,
2039307460146860233,Sun Apr 05 18:49:04 +0000 2026,0,@Joshuau Hati hati kak takut diabetes.. GAK PERNAH TAH HIBERNASI? Kamu harus cobain sih tidur 18 jam sehari kaya semua ngantuk seumur hidup kamu hilang seketika. Team dua duanya kalau udah pegel naik gunung baru mancing kraken ️ apakah kakak teman seperbocilan roblox juga?,2040864314404511958,,Joshuau,in,,0,0,0,https://x.com/undefined/status/2040864314404511958,777525043,
2040844763352678564,Sun Apr 05 17:31:23 +0000 2026,0,LUCUBGT GW DIABETES MEMBACA INI DKDPF03FO3OF9EO,2040844763352678564,,,in,,0,1,0,https://x.com/undefined/status/2040844763352678564,2027357747491356672,
2040842704700244317,Sun Apr 05 17:23:47 +0000 2026,1,⏳ 16. Mending diabetes apa sesek krn dicekik abang sendiri? https://t.co/pezGtHybvF,2040842852327186756,https://pbs.twimg.com/media/HFKHwgOaYAAeAP8.jpg,SOME_0NEXNE,in,,0,1,0,https://x.com/undefined/status/2040842852327186756,1452899911662333961,
2040829990514942199,Sun Apr 05 17:07:42 +0000 2026,0,@Sardennk Mbk kga diabetes iya,2040838805738115142,,Sardennk,in,,0,0,0,https://x.com/undefined/status/2040838805738115142,1516514352333209601,
2040837445936435626,Sun Apr 05 17:02:23 +0000 2026,10,Aku spill yaaa.. pastikan beli di toko yang terpercaya. Biar gak ilang masukin keranjang biar gak nyari lagi 1. Li liang : diabetes hipertensi ️ https://t.co/L5hUxglnQc 2. Zhi wu : asam urat nyeri sendi ️ https://t.co/WMVAxVbRE2,2040837466543054986,,elenarenoa,in,,0,1,2,https://x.com/undefined/status/2040837466543054986,1691310275004416000,
2040837445936435626,Sun Apr 05 17:02:18 +0000 2026,3113,GUYSS... TERNYATA OBAT CINA TUH BANYAK YANG AMPUH DAN SELALU DICARI ORANG ‼️ Catetttt 1. Li liang : diabetes kencing manis Hipertensi 2. Zhi wu : asam urat nyeri sendi 3. Fufang : demam badan lemas trombosit 4. Zhiyang : gatal alergi 5. Chang Seuw Tian: kanker tumor https://t.co/tqXYFsCq0T,2040837445936435626,https://pbs.twimg.com/media/HFKC1XIbQAAOzYG.jpg,,in,,14,61,980,https://x.com/undefined/status/2040837445936435626,1691310275004416000,
2040817916384587778,Sun Apr 05 16:45:27 +0000 2026,0,@animelvr65 manis apalagi beneran pas ciuman smbil makan permen //diabetes,2040833206426231216,,animelvr65,in,,0,1,0,https://x.com/undefined/status/2040833206426231216,1628187716512006144,
2040818953270997281,Sun Apr 05 15:48:49 +0000 2026,7,author nyutella kenapa pada nyerang?? aku diabetes kocak dipikir kuat apa baca tulisan manis kalian,2040818953270997281,,,in,,0,1,0,https://x.com/undefined/status/2040818953270997281,1635232197442682881,
2040706129072955696,Sun Apr 05 15:23:20 +0000 2026,0,@MalaysiaGazette Hang tu yg kena pi check darah kat hospital kot ade diabetes,2040812537273631216,,MalaysiaGazette,in,,0,0,0,https://x.com/undefined/status/2040812537273631216,1329664843444408327,
2040812169470832768,Sun Apr 05 15:21:52 +0000 2026,0,Pengin ke thai pgn thai tea diabetes mau pad thai,2040812169470832768,,,in,,0,0,0,https://x.com/undefined/status/2040812169470832768,1523861919362260992,
2040811096995684389,Sun Apr 05 15:17:36 +0000 2026,0,5 Gejala Tidak Umum Penyakit Diabetes pada Tubuh https://t.co/UgWiz2VPLu,2040811096995684389,,,in,,0,0,0,https://x.com/undefined/status/2040811096995684389,1318855369641263105,
2048228868134490459,Sun Apr 26 23:51:37 +0000 2026,0,@saphelune_ Kak tolong banget paksa &amp; biasain. Klo kmu tau org diabetes &amp; gagal ginjal di RS itu kasian banget kak jaga kesehatan ya all,2048550598476513398,,saphelune_,in,,0,0,0,https://x.com/undefined/status/2048550598476513398,1573278342153146368,
2048541706707185678,Sun Apr 26 23:16:17 +0000 2026,0,Ga mau ngomenin sender nya tp sender kalau kamu baca ini di kasusku bisa. Sempet nyentuh angka 73 terus diet krn takut diabetes. Olahraga : Gym jalan pagi (awalnya jalan lama2 lari) yoga Pola makan : defkal + IF. Wajib protein dan sayur Turun 11 kg dlm waktu 4 bulanan,2048541706707185678,,,in,,0,0,0,https://x.com/undefined/status/2048541706707185678,1880504482284597249,
2048327262781821020,Sun Apr 26 23:08:01 +0000 2026,0,@nexzhyui @tomyasyu @_ Jangan kebanyakan ntar diabetes ,2048539627347411363,,nexzhyui,in,,0,1,0,https://x.com/undefined/status/2048539627347411363,4667875700,
2048535956157001767,Sun Apr 26 22:53:26 +0000 2026,1,Udah tua makan mulu Diabetes mampus lu,2048535956157001767,,,in,,0,0,0,https://x.com/undefined/status/2048535956157001767,1366411742,
2048411137503638002,Sun Apr 26 21:53:22 +0000 2026,0,@27_CESTHERINA YAHKAN DIABETES,2048520839386300757,,27_CESTHERINA,in,,0,1,0,https://x.com/undefined/status/2048520839386300757,1971409110588600320,
2048183400021025002,Sun Apr 26 20:53:08 +0000 2026,2,@FuhHusain @Segagoreng1107 @deemaz85 Makanan malaydesh hanya dimakan oleh pelacur pelacur anjing ber IQ rendah Kepalanya diamputasi kerana diabetes ,2048505680529871190,,FuhHusain,in,,0,1,0,https://x.com/undefined/status/2048505680529871190,2029996598995099649,
2048183400021025002,Sun Apr 26 20:50:53 +0000 2026,2,@FuhHusain @Warhead_std @deemaz85 malonte makanan busuk diabetes macam ais kepal malay bangang bau kote,2048505117251645513,,FuhHusain,in,,0,0,0,https://x.com/undefined/status/2048505117251645513,2029996598995099649,
2048424763765518706,Sun Apr 26 18:48:39 +0000 2026,1,@ronnyhenk1 Diabetes ya pemicu paling besarnya?,2048474352119841269,,ronnyhenk1,in,,0,1,0,https://x.com/undefined/status/2048474352119841269,704569259158974464,
2048305661545677191,Sun Apr 26 18:43:07 +0000 2026,0,@Manduaddictxy dulu ga suka banget sama air putih sampe waktu kelas 2 SMA kaki kanan sakit se sakit sakit nya waktu di bawa ke dokter perkiraan aku kena asam urat atau neuropati diabetik dan kebetulan juga nenek aku punya riwayat diabetes. semenjak kejadian itu kapok banget,2048472963448709124,,Manduaddictxy,in,,0,0,0,https://x.com/undefined/status/2048472963448709124,1303298090242174976,
2047680323039990013,Sun Apr 26 18:08:32 +0000 2026,0,@yutactz sambil minum obat aja biar ga diabetes,2048464259143872895,,yutactz,in,,0,1,0,https://x.com/undefined/status/2048464259143872895,3273820135,
