video_id,video_title,comment_id,author,comment,likes,published_at,scrape_date
Pr7pLXjWTH4,Apa Saja Bahaya Komplikasi Diabetes,UgwBBO7ArdnpRyOyyTF4AaABAg,@SenJaya-tp4kp,Trims infonya Dokter 👍👍,0,6 months ago,2025-05-07
kP-tyXYQ0qQ,Ciri Fisik Penyakit Diabetes yang Harus Kita Ketahui,UgxM7whkgtucUjXnx-J4AaABAg,@MuzmetPolone,Assalamualaikum pak dokter badan saya di rubung semut sama kecing saya kemarin gula saya 222 dokter bilang gak tinggi mbk kok pada bilang tinggi dok,0,11 days ago,2025-05-07
kP-tyXYQ0qQ,Ciri Fisik Penyakit Diabetes yang Harus Kita Ketahui,UgwC1YO4bcPPkh1IqtZ4AaABAg,@divoficial7949,Dok aku pnya luka sobekan tpi kok di kerumunin semut Mera apa itu tanda diabetes  Jawab dok biar aku bisa tanganin,0,6 months ago,2025-05-07
kP-tyXYQ0qQ,Ciri Fisik Penyakit Diabetes yang Harus Kita Ketahui,UgwTghZiHAa7CYmPuFB4AaABAg,@SriWarsiyati,Terimakasih informasinya,0,1 year ago,2025-05-07
kP-tyXYQ0qQ,Ciri Fisik Penyakit Diabetes yang Harus Kita Ketahui,UgzfCTL15NDfuKj7Tvd4AaABAg,@PedroPedro-kd1oy,Dok apa bedanya exsim basah sama diabetes?,0,1 year ago,2025-05-07
kP-tyXYQ0qQ,Ciri Fisik Penyakit Diabetes yang Harus Kita Ketahui,Ugwr5KkCcjeYzSeDNht4AaABAg,@Guladarahnormal65,"Motto saya dalam pengendalian diabetes: tanpa nasi, tanpa tepung, tanpa gula, tanpa obat, dan tanpa diabetes",0,1 year ago,2025-05-07
kP-tyXYQ0qQ,Ciri Fisik Penyakit Diabetes yang Harus Kita Ketahui,Ugy3R9b2TYwlQttlsPp4AaABAg,@widyaasrini6414,Apa benar faktor turunan juga ngaruh dokter. Mohon jawab,0,1 year ago,2025-05-07
kP-tyXYQ0qQ,Ciri Fisik Penyakit Diabetes yang Harus Kita Ketahui,UgyHtfKhrcvjl3-JlFV4AaABAg,@windyariela5886,Trakir cek bulan juli kmren 111 dok bb 97 tggi bdn 170 usia 40 Normal gk dok?,0,1 year ago,2025-05-07
kP-tyXYQ0qQ,Ciri Fisik Penyakit Diabetes yang Harus Kita Ketahui,Ugwno46cLoS6Q7mcOX14AaABAg,@MeliIlham12,"Tumbuh saya kurus teros dok, apa kah itu tanda dia betes, tapi tensi darah sayah cuman 100/70",0,1 year ago,2025-05-07
kP-tyXYQ0qQ,Ciri Fisik Penyakit Diabetes yang Harus Kita Ketahui,UgyCDF1B5X3VkVRfAVl4AaABAg,@terasa5283,Benar dok waktu kena diabetes berat badan terjun jadi krripot perut  kuku hitam udah sembuh kembali gemuk,1,1 year ago,2025-05-07
kP-tyXYQ0qQ,Ciri Fisik Penyakit Diabetes yang Harus Kita Ketahui,UgzcUu6ksqmS0dFZPcl4AaABAg,@MillahTuljennah,Klo kencing sakit dong,1,1 year ago,2025-05-07
kP-tyXYQ0qQ,Ciri Fisik Penyakit Diabetes yang Harus Kita Ketahui,UgyPTQz9IiyKBdCG_oR4AaABAg,@amri7635,"gua umur 27thn bpk punya diabetes kemaren kadar gula gua 300 lebih tp seminggu kemudian turun jd 130an yok buat teman"" dijaga pola makan dan makanan serta minumannya jangan lupa jg olahraga  ingat penyakit tidak pandang umur",15,1 year ago,2025-05-07
