ID Order,LINK URL,Harga,Judul Produk,Rating Produk,Terjual,image,image2,image3,Kota Penjual,Sisa Produk,Size Produk,Harga Ongkir,Total Barang
1772608412-1,https://www.tokopedia.com/tokokarungjantan-193/product,Rp85.000,“ NIFTY PUFF “ OVERSIZE T-SHIRT | BAJU KAOS OVERSIZE PRIA DISTRO | BAJU KAOS OVERSIZE LENGAN PENDEK,4.7,nan,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/85cc883d.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/ae78c469.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,Kota Denpasar,nan,"S

M

L

XL",nan,nan
1772608416-2,https://www.tokopedia.com/tokokarungjantan-193/product,Rp85.000,“ UNCERTAIN PUFF “ OVERSIZE T-SHIRT | BAJU KAOS OVERSIZE PRIA DISTRO | BAJU KAOS OVERSIZE LENGAN PENDEK,4.8,nan,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/85cc883d.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/ae78c469.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,Kota Denpasar,nan,nan,nan,nan
1772608419-3,https://www.tokopedia.com/tokokarungjantan-193/product,Rp91.000,""" VOLUME 4 "" SLINGBAG | TAS SELEMPANG | TAS BAHU PRIA",5.0,nan,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/85cc883d.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/ae78c469.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,Kota Denpasar,nan,nan,nan,nan
1772608427-4,https://www.tokopedia.com/tokokarungjantan-193/product,Rp85.000,“ PATH PUFF “ OVERSIZE T-SHIRT | BAJU KAOS OVERSIZE PRIA DISTRO | BAJU KAOS OVERSIZE LENGAN PENDEK,4.6,nan,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/85cc883d.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/ae78c469.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,Kota Denpasar,Sisa 8,"S

M

L

XL",Ongkir Rp17.000,"285

total barang"
1772608433-5,https://www.tokopedia.com/tokokarungjantan-193/product,Rp58.000,“ VOLUME 2 ” KACAMATA KRGJNTN | SUN GLASSES | KACAMATA DISTRO,4.2,nan,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/85cc883d.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/ae78c469.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,Kota Denpasar,Sisa 4,nan,Ongkir Rp17.000,"285

total barang"
1772608443-6,https://www.tokopedia.com/tokokarungjantan-193/product,Rp162.000,""" VOLUME 2 "" ZIPPER HOODIE BOXY | ZIPPER HOODIE BOXY PRIA DISTRO",4.7,nan,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/85cc883d.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/ae78c469.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,Kota Denpasar,Sisa 8,"S

M

L

XL",Ongkir Rp17.000,"285

total barang"
1772608450-7,https://www.tokopedia.com/tokokarungjantan-193/product,Rp225.000,WORK JACKET SUEDE | JACKET WORK SUEDE PRIA,4.8,nan,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/85cc883d.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/ae78c469.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,Kota Denpasar,Sisa 3,"S

M

L

XL",Ongkir Rp17.000,"285

total barang"
1772608457-8,https://www.tokopedia.com/tokokarungjantan-193/product,Rp20.000,SLAYER | BANDANA | SCARFT,4.8,nan,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/85cc883d.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/ae78c469.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,Kota Denpasar,79,nan,Ongkir Rp17.000,"285

total barang"
1772608461-9,https://www.tokopedia.com/tokokarungjantan-193/product,Rp153.000,""" VOLUME 3 "" JUMPER HOODIE BOXY | JUMPER HOODIE BOXY PRIA DISTRO",4.8,nan,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/85cc883d.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/ae78c469.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,Kota Denpasar,Sisa 2,"S

M

L

XL",nan,nan
1772608470-10,https://www.tokopedia.com/tokokarungjantan-193/product,Rp99.000,SLINGBAG BULAT JUMBO | TAS SELEMPANG BULAT JUMBO | TAS BAHU PRIA DISTRO,,4 terjual,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/85cc883d.svg,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/ae78c469.svg,nan,Kota Denpasar,Sisa 1,nan,nan,nan
